iter	RMSE
0	798.438905
1	662.5690432
2	582.8787578
3	540.8477396
4	513.8617798
5	498.8774865
6	491.5848451
7	474.089584
8	463.4983451
9	458.3966385
10	453.2523674
11	446.8667915
12	444.3553993
13	440.888837
14	438.3932389
15	436.4129728
16	432.4475094
17	429.0887007
18	426.9961788
19	425.2777427
20	420.8623605
21	419.0904805
22	416.5143056
23	414.7406679
24	413.5723007
25	411.6977538
26	410.3618567
27	408.1549152
28	406.6411373
29	405.742835
30	404.7848341
31	404.1257179
32	402.7803005
33	399.8412447
34	398.0160396
35	396.7901598
36	396.1717967
37	394.1818538
38	393.4973508
39	393.0487789
40	392.0676254
41	391.5655463
42	390.529595
43	390.0636833
44	387.9413787
45	386.8495263
46	385.1828077
47	384.2466083
48	383.3704003
49	381.5870167
50	379.8376899
51	379.1625671
52	378.649463
53	377.8191291
54	377.3376083
55	376.5357849
56	375.3011726
57	375.0590762
58	374.711166
59	374.0766558
60	373.7663832
61	373.4565601
62	373.2777227
63	373.0592785
64	371.6984475
65	371.1684313
66	370.858677
67	370.3204289
68	369.7018311
69	368.7842729
70	368.5143329
71	368.3226657
72	367.5980795
73	363.1550629
74	362.9945271
75	362.7123302
76	362.4038097
77	362.1142162
78	361.2405047
79	360.153127
80	359.7769699
81	359.6583138
82	359.1981095
83	358.4651955
84	358.0498662
85	357.7740004
86	356.5425176
87	356.2723293
88	356.0778415
89	355.9128206
90	355.5576653
91	355.0443854
92	354.7685514
93	354.5207625
94	353.5162347
95	353.184019
96	352.6626094
97	352.5265267
98	351.8033049
99	351.1444124
100	350.2217628
101	350.0600027
102	349.1541704
103	347.9136382
104	346.8277219
105	346.6184026
106	345.0825404
107	344.8729157
108	344.6419449
109	344.3303644
110	342.8874603
111	342.4733684
112	341.3498189
113	340.0119049
114	339.3188976
115	338.4643445
116	338.1846651
117	337.7392885
118	337.06442
119	336.8040339
120	336.6546863
121	336.3766902
122	336.2696362
123	336.0921238
124	335.7551935
125	335.5339043
126	334.8358182
127	334.7155186
128	334.5708132
129	334.2587133
130	334.1492225
131	333.9200609
132	333.6328775
133	333.4639809
134	333.2476196
135	333.16468
136	333.0564862
137	332.4499927
138	331.9468837
139	331.6043674
140	331.4898713
141	330.8150412
142	330.5158859
143	330.2350369
144	329.9659641
145	329.7547098
146	329.5449785
147	329.2451766
148	329.110114
149	328.8610756
150	328.6306308
151	328.341399
152	328.1425165
153	327.8883769
154	327.6409059
155	327.624875
156	327.5118205
157	327.3192915
158	326.4938913
159	326.3740194
160	326.0865254
161	326.016129
162	325.6705028
163	325.3982341
164	325.2663544
165	325.141857
166	325.0991487
167	324.9492592
168	324.9118009
169	324.6770515
170	324.3371313
171	324.3349211
172	324.1392969
173	323.8302617
174	323.0335827
175	322.7659737
176	322.0502122
177	321.4783555
178	320.8087614
179	320.6295762
180	320.3520019
181	320.178777
182	320.0675645
183	319.966051
184	319.7205283
185	319.4714607
186	319.2963895
187	319.2631858
188	318.3577403
189	318.1700719
190	317.8860558
191	317.5867612
192	317.3905497
193	317.3637287
194	316.8843772
195	316.5193704
196	316.3750525
197	315.9509923
198	315.7323482
199	315.704859
