iter	Passed	Remaining
0	1600	318403
1	3552	351692
2	5175	339827
3	6588	322819
4	8322	324588
5	9784	316377
6	11616	320276
7	13367	320808
8	15354	325853
9	17093	324774
10	18529	318370
11	19871	311317
12	21240	305533
13	22888	304095
14	24606	303476
15	26191	301196
16	27816	299433
17	29690	300198
18	31408	299208
19	33258	299327
20	35186	299926
21	36915	298677
22	38385	295401
23	40030	293559
24	41711	291981
25	43569	291580
26	44952	288028
27	46645	286534
28	48342	285053
29	49864	282565
30	51807	282434
31	53819	282553
32	55870	282739
33	57848	282438
34	60046	283074
35	61920	282084
36	64169	282693
37	66316	282719
38	68545	282971
39	70902	283611
40	73076	283395
41	75158	282737
42	77477	282884
43	79207	280824
44	81225	279775
45	83345	279027
46	85169	277253
47	87284	276401
48	88928	274043
49	91117	273351
50	93134	272099
51	94853	269967
52	96932	268849
53	98999	267665
54	100879	265954
55	102742	264193
56	104834	263006
57	106748	261350
58	108659	259677
59	110475	257777
60	112463	256268
61	114296	254401
62	116211	252713
63	117893	250523
64	119522	248239
65	121358	246393
66	123112	244387
67	124926	242503
68	126837	240807
69	128871	239332
70	130565	237224
71	132496	235549
72	134691	234326
73	136444	232323
74	138420	230700
75	140185	228724
76	142000	226832
77	144027	225274
78	145809	223328
79	147545	221317
80	149872	220183
81	151981	218705
82	153650	216591
83	155697	215010
84	157201	212683
85	158957	210710
86	160855	208927
87	162714	207091
88	164706	205420
89	166435	203421
90	168161	201423
91	170026	199596
92	171771	197629
93	173596	195757
94	175546	194025
95	177657	192462
96	179534	190639
97	181531	188940
98	183323	187026
99	185473	185473
100	187068	183364
101	188892	181485
102	191016	179889
103	192952	178110
104	194728	176183
105	196446	174207
106	198211	172277
107	200159	170506
108	202067	168698
109	203916	166840
110	205754	164974
111	207469	163011
112	209746	161486
113	211335	159428
114	213193	157577
115	215115	155773
116	217108	154017
117	219111	152263
118	221110	150504
119	223196	148797
120	224995	146897
121	227214	145268
122	229081	143409
123	230979	141568
124	232850	139710
125	234843	137923
126	236750	136084
127	238486	134148
128	240377	132300
129	242444	130547
130	244253	128652
131	246264	126863
132	248189	125027
133	250086	123177
134	252081	121372
135	253818	119443
136	255600	117539
137	257651	115756
138	259504	113883
139	261475	112061
140	263174	110122
141	264869	108186
142	266917	106393
143	268730	104506
144	270425	102575
145	272283	100707
146	274279	98890
147	276458	97134
148	278246	95238
149	279985	93328
150	281822	91452
151	283717	89594
152	285556	87720
153	287514	85880
154	289614	84081
155	291354	82176
156	293101	80276
157	294850	78378
158	296874	76552
159	298540	74635
160	300142	72705
161	301996	70838
162	303717	68942
163	305472	67054
164	307370	65199
165	309337	63358
166	311333	61521
167	313419	59698
168	315258	57828
169	317111	55960
170	319019	54102
171	320593	52189
172	322579	50344
173	324436	48479
174	326372	46624
175	328125	44744
176	330082	42892
177	331856	41016
178	333928	39176
179	336033	37337
180	337895	35469
181	339827	33609
182	341656	31738
183	343545	29873
184	345324	27999
185	347323	26142
186	349234	24278
187	351150	22413
188	352878	20537
189	355046	18686
190	357222	16832
191	359176	14965
192	361575	13114
193	363487	11241
194	365608	9374
195	367735	7504
196	369469	5626
197	371151	3749
198	373088	1874
199	374995	0
