iter	RMSE
0	77123.93259
1	75017.0484
2	72993.49761
3	71061.26967
4	69159.70497
5	67407.71828
6	65788.91213
7	64407.47851
8	62832.33051
9	61251.68867
10	59764.40189
11	58231.86814
12	56832.33708
13	55638.76852
14	54278.63062
15	53059.86821
16	51801.65468
17	50657.74334
18	49579.96019
19	48571.50238
20	47712.99016
21	46792.8994
22	45865.98848
23	45071.02162
24	44268.72672
25	43432.20572
26	42720.41201
27	41931.09326
28	41209.18845
29	40586.37996
30	39919.71184
31	39277.28278
32	38663.12023
33	38060.21947
34	37515.23567
35	36892.63111
36	36320.95112
37	35753.25317
38	35228.16869
39	34751.61127
40	34322.66271
41	33883.72137
42	33412.50333
43	32964.98209
44	32557.90704
45	32159.40692
46	31805.48668
47	31439.82874
48	31074.16377
49	30766.4637
50	30466.43409
51	30225.79303
52	29861.3412
53	29550.75895
54	29286.72198
55	28994.08829
56	28787.83146
57	28482.54553
58	28157.46843
59	27935.98927
60	27679.26497
61	27461.2462
62	27288.37174
63	27050.48112
64	26827.1372
65	26615.65189
66	26447.88702
67	26280.94284
68	26053.65776
69	25905.88442
70	25739.24479
71	25561.05457
72	25415.58214
73	25253.94874
74	25088.71498
75	24948.37353
76	24789.06807
77	24663.74183
78	24530.97168
79	24394.39754
80	24235.99785
81	24068.74923
82	23916.71148
83	23787.02537
84	23663.51056
85	23574.60481
86	23476.17298
87	23376.78056
88	23286.77714
89	23185.80375
90	23075.06016
91	22886.37016
92	22770.74303
93	22654.03381
94	22528.7839
95	22426.62576
96	22320.98535
97	22222.13328
98	22112.04467
99	22017.57904
100	21908.86034
101	21818.06491
102	21708.00756
103	21620.26836
104	21544.85069
105	21443.67151
106	21348.57736
107	21267.80877
108	21178.25216
109	21084.57846
110	21048.53436
111	20996.00541
112	20906.86923
113	20845.39373
114	20788.13645
115	20677.48839
116	20598.09545
117	20536.4899
118	20482.60537
119	20434.95981
120	20377.55902
121	20343.77782
122	20264.42233
123	20221.7306
124	20144.88046
125	20082.4752
126	20040.26629
127	19983.55587
128	19929.41674
129	19864.51562
130	19804.04999
131	19757.40629
132	19717.06175
133	19667.50489
134	19594.9379
135	19520.23905
136	19458.47107
137	19422.9881
138	19361.50576
139	19311.33572
140	19265.67786
141	19214.44109
142	19180.55158
143	19119.07034
144	19075.02613
145	19041.58467
146	18998.30493
147	18971.03707
148	18939.22966
149	18922.89389
150	18908.23013
151	18876.31813
152	18849.14162
153	18818.94145
154	18773.08104
155	18708.34728
156	18677.47543
157	18641.34123
158	18593.62832
159	18568.70029
160	18530.1674
161	18484.03987
162	18455.8098
163	18442.38378
164	18387.72025
165	18363.56788
166	18324.41424
167	18286.03856
168	18262.24316
169	18232.40023
170	18181.80924
171	18159.15219
172	18128.01624
173	18075.97944
174	18056.386
175	18024.27544
176	17978.18677
177	17938.36461
178	17905.80139
179	17864.19929
180	17849.30707
181	17814.70102
182	17782.40875
183	17766.46071
184	17755.66175
185	17743.38219
186	17726.8563
187	17710.43277
188	17693.42883
189	17661.06814
190	17646.88991
191	17638.10167
192	17619.16974
193	17584.70021
194	17566.10789
195	17535.31159
196	17506.48862
197	17472.91844
198	17442.1342
199	17402.24761
200	17378.25578
201	17368.77247
202	17354.03353
203	17329.35914
204	17319.17937
205	17278.61755
206	17258.81091
207	17242.4228
208	17224.86313
209	17184.07503
210	17148.82024
211	17143.01061
212	17108.77369
213	17074.17782
214	17049.81654
215	17036.08471
216	17003.43429
217	16975.89988
218	16947.6693
219	16938.7981
220	16917.82475
221	16892.24457
222	16874.97245
223	16867.49266
224	16851.48826
225	16840.97477
226	16831.95726
227	16791.22364
228	16781.73699
229	16760.79253
230	16738.28916
231	16712.07665
232	16698.80091
233	16692.43357
234	16685.08445
235	16654.44361
236	16625.73365
237	16619.01954
238	16604.44307
239	16570.02898
240	16551.83125
241	16512.25358
242	16500.95167
243	16479.13931
244	16446.8121
245	16431.0848
246	16399.79046
247	16378.30028
248	16366.9516
249	16350.5051
250	16337.41941
251	16323.2949
252	16304.45958
253	16290.33873
254	16255.76026
255	16235.04196
256	16227.09995
257	16192.40191
258	16166.78918
259	16160.1757
260	16151.96341
261	16133.223
262	16117.46605
263	16099.96319
264	16088.73541
265	16048.6707
266	16021.11568
267	15988.11803
268	15982.45102
269	15956.37056
270	15944.81098
271	15913.5884
272	15874.35339
273	15838.72617
274	15827.58818
275	15819.74564
276	15799.54727
277	15794.84637
278	15782.68712
279	15751.98199
280	15734.50371
281	15731.81808
282	15724.15754
283	15701.38128
284	15690.09615
285	15669.40691
286	15653.81017
287	15642.9169
288	15620.8969
289	15584.1986
290	15578.90377
291	15561.82961
292	15542.56071
293	15520.12161
294	15513.91029
295	15473.74036
296	15468.35126
297	15464.36848
298	15458.06266
299	15435.36059
300	15420.41739
301	15407.58638
302	15373.30962
303	15359.88124
304	15355.08302
305	15351.45943
306	15335.88984
307	15321.30209
308	15313.94143
309	15309.69814
310	15281.13569
311	15279.62404
312	15258.38803
313	15243.30389
314	15214.45984
315	15189.40057
316	15177.77063
317	15163.19845
318	15156.46456
319	15130.60815
320	15083.7879
321	15050.74894
322	15031.35525
323	15014.6324
324	14992.27094
325	14979.33959
326	14965.43501
327	14947.58032
328	14923.38706
329	14917.63733
330	14880.91141
331	14853.76945
332	14834.40083
333	14830.63173
334	14825.12016
335	14802.52107
336	14793.04536
337	14789.36473
338	14786.7747
339	14768.20309
340	14753.25177
341	14734.76843
342	14722.81527
343	14711.08789
344	14699.33995
345	14683.6678
346	14661.21031
347	14646.20499
348	14640.79757
