iter	Passed	Remaining
0	93	93840
1	103	51844
2	122	40854
3	136	34020
4	143	28614
5	149	24768
6	178	25303
7	185	23013
8	191	21079
9	205	20330
10	216	19427
11	223	18364
12	227	17296
13	234	16504
14	240	15760
15	248	15269
16	254	14704
17	264	14434
18	269	13915
19	275	13482
20	282	13163
21	292	13012
22	301	12793
23	307	12509
24	331	12927
25	342	12814
26	350	12619
27	356	12365
28	361	12099
29	366	11862
30	373	11689
31	379	11486
32	388	11394
33	395	11238
34	400	11054
35	409	10962
36	415	10814
37	423	10715
38	427	10544
39	433	10405
40	438	10250
41	444	10140
42	452	10071
43	459	9973
44	466	9910
45	473	9814
46	479	9718
47	485	9638
48	492	9567
49	499	9483
50	509	9478
51	517	9426
52	523	9361
53	531	9305
54	536	9211
55	541	9121
56	547	9050
57	552	8978
58	558	8900
59	566	8881
60	572	8814
61	579	8770
62	585	8710
63	590	8641
64	596	8578
65	602	8522
66	610	8499
67	617	8463
68	623	8408
69	630	8379
70	636	8325
71	643	8292
72	650	8258
73	658	8239
74	663	8185
75	670	8150
76	676	8108
77	682	8073
78	687	8018
79	696	8004
80	703	7977
81	709	7945
82	715	7902
83	722	7883
84	728	7842
85	734	7801
86	741	7781
87	748	7757
88	754	7727
89	762	7714
90	769	7690
91	775	7651
92	783	7644
93	789	7610
94	803	7650
95	809	7623
96	815	7594
97	823	7581
98	830	7560
99	836	7530
100	844	7515
101	850	7486
102	857	7463
103	862	7431
104	883	7532
105	889	7499
106	894	7463
107	899	7432
108	906	7406
109	911	7372
110	917	7350
111	922	7317
112	930	7307
113	936	7276
114	941	7248
115	947	7224
116	953	7195
117	959	7174
118	965	7150
119	973	7136
120	980	7122
121	986	7103
122	992	7077
123	998	7055
124	1004	7031
125	1010	7011
126	1017	6993
127	1023	6969
128	1029	6948
129	1034	6922
130	1040	6899
131	1046	6880
132	1053	6869
133	1061	6861
134	1067	6839
135	1075	6830
136	1082	6815
137	1089	6807
138	1095	6786
139	1103	6779
140	1113	6782
141	1118	6760
142	1126	6753
143	1133	6738
144	1141	6729
145	1147	6711
146	1152	6690
147	1159	6677
148	1167	6666
149	1170	6630
150	1175	6607
151	1181	6589
152	1189	6585
153	1196	6572
154	1203	6560
155	1211	6553
