iter	Passed	Remaining
0	54	16169
1	57	8563
2	60	6011
3	65	4866
4	68	4012
5	71	3521
6	73	3064
7	74	2733
8	77	2506
9	80	2347
10	82	2173
11	84	2036
12	87	1938
13	88	1806
14	89	1705
15	93	1661
16	95	1597
17	97	1526
18	98	1461
19	100	1412
20	102	1364
21	103	1312
22	105	1267
23	106	1225
24	108	1190
25	109	1151
26	110	1119
27	112	1088
28	114	1066
29	115	1039
30	117	1018
31	118	989
32	119	969
33	122	956
34	123	938
35	125	923
36	127	904
37	128	886
38	129	869
39	131	853
40	134	850
41	136	837
42	137	821
43	138	807
44	140	793
45	141	779
46	142	766
47	143	755
48	145	743
49	146	731
50	147	720
51	148	708
52	150	699
53	151	689
54	152	680
55	154	671
56	156	668
57	159	664
58	160	656
59	162	648
60	165	646
61	169	649
62	170	641
63	171	633
64	173	626
65	174	617
66	177	616
67	179	611
68	180	604
69	182	598
70	183	591
71	184	584
72	185	577
73	187	571
74	188	564
75	189	558
76	190	552
77	192	547
78	194	544
79	197	544
80	199	540
81	201	535
82	202	529
83	203	523
84	205	520
85	207	515
86	210	515
87	214	515
88	215	511
89	217	506
90	220	507
91	223	504
92	224	500
93	226	497
94	228	492
95	230	489
96	231	485
97	233	480
98	236	480
99	238	477
100	239	472
101	241	468
102	242	464
103	243	459
104	245	456
105	246	450
106	247	446
107	249	442
108	250	439
109	251	434
110	252	430
111	256	431
112	258	428
113	260	424
114	260	419
115	262	416
116	263	412
117	265	409
118	267	406
119	267	401
120	269	398
121	270	394
122	271	391
123	273	387
124	274	384
125	275	381
126	277	377
127	278	374
128	280	371
129	282	368
130	285	367
131	286	364
132	287	361
133	288	357
134	289	353
135	290	350
136	292	347
137	294	345
138	294	341
139	296	338
140	297	336
141	299	333
142	300	329
143	301	326
144	303	324
145	304	321
146	305	318
147	307	315
148	308	312
149	309	309
150	311	307
151	312	304
152	314	301
153	315	299
154	316	296
155	318	293
156	319	291
157	320	288
158	324	288
159	327	286
160	329	284
161	331	282
162	333	279
163	333	276
164	336	275
165	337	272
166	339	270
167	340	267
168	342	265
169	343	262
170	347	262
171	350	260
172	352	258
173	353	255
174	354	253
175	356	250
176	358	249
177	361	247
178	362	245
179	363	242
180	365	240
181	367	237
182	367	235
183	369	232
184	370	230
185	371	227
186	372	225
187	374	223
188	375	220
189	376	218
190	377	215
191	378	213
192	380	210
193	380	208
194	382	205
195	383	203
196	384	200
197	385	198
198	386	196
199	387	193
200	391	192
201	392	190
202	393	188
203	396	186
204	398	184
205	400	182
206	402	180
207	403	178
208	404	176
209	405	173
210	409	172
211	411	170
212	412	168
213	414	166
214	415	164
215	417	162
216	421	161
217	422	158
218	422	156
219	423	153
220	424	151
221	426	149
222	427	147
223	428	145
224	429	143
225	430	141
226	432	138
227	433	136
228	434	134
229	436	132
230	437	130
231	439	128
232	439	126
233	440	124
234	441	122
235	443	120
236	444	118
237	446	116
238	447	114
239	448	112
240	450	110
241	451	108
242	452	106
243	453	104
244	454	102
245	455	100
246	457	98
247	458	96
248	459	94
249	461	92
250	462	90
251	464	88
252	466	86
253	467	84
254	469	82
255	470	80
256	471	78
257	472	76
258	473	74
259	474	72
260	475	71
261	478	69
262	479	67
263	481	65
264	482	63
265	483	61
266	484	59
267	485	57
268	486	56
269	489	54
270	491	52
271	492	50
272	494	48
273	495	47
274	497	45
275	498	43
276	500	41
277	502	39
278	503	37
279	505	36
280	506	34
281	508	32
282	510	30
283	511	28
284	512	26
285	513	25
286	514	23
287	516	21
288	517	19
289	519	17
290	520	16
291	522	14
292	524	12
293	525	10
294	527	8
295	528	7
296	532	5
297	534	3
298	537	1
299	538	0
